Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:57 PM,108,37.028,37.13949203,30.32217979,30.19065094,31.03703308,34.27123642,29.45858002,33.03939819,29.79518127
4/24/2018,12:37:57 PM,378,37.298,37.10560226,30.21457672,30.10687447,30.96574211,34.1902771,29.43449974,33.0510788,29.73514366
4/24/2018,12:37:57 PM,648,37.568,37.12819672,30.25045395,30.19065094,31.01327515,34.21341324,29.44654083,33.17948532,29.7591629
4/24/2018,12:37:57 PM,918,37.838,37.09430313,30.25045395,30.14278603,31.01327515,34.20184326,29.43449974,33.10946274,29.80718422
4/24/2018,12:37:58 PM,189,38.109,37.16208267,30.2265377,30.17868614,31.02515411,34.1902771,29.47061729,33.10946274,29.81918716
4/24/2018,12:37:58 PM,459,38.379,37.17337418,30.25045395,30.15475464,31.02515411,34.20184326,29.47061729,33.09778976,29.77116966
4/24/2018,12:37:58 PM,729,38.649,37.16208267,30.27436829,30.13081741,31.01327515,34.20184326,29.48265457,33.09778976,29.80718422
4/24/2018,12:37:59 PM,270,39.19,37.083004,30.17868614,30.07095146,30.91819191,34.12083817,29.41041565,33.0510788,29.72313309
4/24/2018,12:37:59 PM,540,39.46,37.04909515,30.19065094,30.10687447,30.9776268,34.13241196,29.42245865,33.08611298,29.72313309
4/24/2018,12:37:59 PM,810,39.73,37.01517868,30.17868614,30.05897522,30.9063015,34.10926056,29.39837074,33.03939819,29.71112061
4/24/2018,12:38:00 PM,80,40,37.0603981,30.16672134,29.99907494,30.9063015,34.12083817,29.33813095,33.0510788,29.68709373
4/24/2018,12:38:00 PM,621,40.541,37.1169014,30.23849678,30.0829277,30.94196892,34.16713333,29.42245865,33.0627594,29.74715424
4/24/2018,12:38:00 PM,891,40.811,37.03779221,30.20261383,30.03501892,30.95385742,34.14398575,29.39837074,32.99266815,29.68709373
4/24/2018,12:38:01 PM,162,41.082,37.1169014,30.21457672,30.11884689,31.02515411,34.10926056,29.43449974,33.0510788,29.72313309
4/24/2018,12:38:01 PM,432,41.352,37.07170105,30.15475464,30.02303886,30.93008041,34.09768295,29.3622303,33.0510788,29.67507744
4/24/2018,12:38:01 PM,702,41.622,37.0603981,30.2265377,30.09490204,30.98951149,34.10926056,29.38632584,33.0510788,29.7591629
4/24/2018,12:38:01 PM,972,41.892,37.083004,30.26241112,30.0829277,30.96574211,34.15555954,29.43449974,33.0510788,29.78317642
4/24/2018,12:38:02 PM,243,42.163,37.0603981,30.2982769,30.11884689,31.02515411,34.17870712,29.44654083,33.09778976,29.81918716
4/24/2018,12:38:02 PM,783,42.703,37.15078735,30.39385986,30.23849678,31.07266235,34.23654556,29.48265457,33.14447784,29.879179
4/24/2018,12:38:03 PM,53,42.973,37.07170105,30.27436829,30.13081741,31.00139427,34.17870712,29.43449974,33.08611298,29.8311882
4/24/2018,12:38:03 PM,324,43.244,37.18466568,30.40580177,30.31022835,31.08453751,34.27123642,29.54281998,33.17948532,29.96311951
4/24/2018,12:38:03 PM,594,43.514,37.18466568,30.38191605,30.28632164,31.13202095,34.29436111,29.55484962,33.15615082,29.90316772
4/24/2018,12:38:03 PM,864,43.784,37.13949203,30.39385986,30.27436829,31.13202095,34.24811172,29.55484962,33.17948532,29.91516113
4/24/2018,12:38:04 PM,135,44.055,37.16208267,30.27436829,30.21457672,31.12015343,34.20184326,29.54281998,33.09778976,29.86718369
4/24/2018,12:38:04 PM,675,44.595,37.16208267,30.28632164,30.23849678,31.12015343,34.20184326,29.53079033,33.14447784,29.879179
